city,state,station,last_update,latitude,longitude,pm25,pm10,no2,so2,co,o3,aqi,aqi_category
Agra,Uttar_Pradesh,"Manoharpur, Agra - UPPCB",2025-05-19 10:00:00,27.23711,78.01936,58.0,98.0,32.0,44.0,16.0,2.0,285.6521739130435,Poor
Agra,Uttar_Pradesh,"Rohta, Agra - UPPCB",2025-05-19 10:00:00,27.106972,78.000111,65.0,61.0,6.0,16.0,30.0,12.0,376.56804733727813,Very Poor
Agra,Uttar_Pradesh,"Sanjay Palace, Agra - UPPCB",2025-05-19 10:00:00,27.19865833,78.00598056,100.0,105.0,24.0,7.0,29.0,36.0,370.7100591715976,Very Poor
Agra,Uttar_Pradesh,"Sector-3B Avas Vikas Colony, Agra - UPPCB",2025-05-19 10:00:00,27.19412,77.96237,,128.0,28.0,23.0,34.0,12.0,400.0,Very Poor
Agra,Uttar_Pradesh,"Shahjahan Garden, Agra - UPPCB",2025-05-19 10:00:00,27.169338,78.03582,57.0,75.0,32.0,21.0,19.0,22.0,312.1301775147929,Very Poor
Agra,Uttar_Pradesh,"Shastripuram, Agra - UPPCB",2025-05-19 10:00:00,27.19862,77.92066,54.0,120.0,36.0,10.0,15.0,69.0,271.30434782608694,Poor
Ahmedabad,Gujarat,"Chandkheda, Ahmedabad - IITM",2025-05-19 10:00:00,23.107969,72.574648,110.0,119.0,107.0,9.0,22.0,16.0,329.70414201183434,Very Poor
Ahmedabad,Gujarat,"Gyaspur, Ahmedabad - IITM",2025-05-19 10:00:00,22.977134,72.553024,112.0,99.0,36.0,18.0,11.0,11.0,273.5117056856187,Poor
Ahmedabad,Gujarat,"Maninagar, Ahmedabad - GPCB",2025-05-19 10:00:00,23.002657,72.591912,45.0,74.0,23.0,30.0,31.0,16.0,382.4260355029586,Very Poor
Ahmedabad,Gujarat,"Rakhial, Ahmedabad - IITM",2025-05-19 10:00:00,23.016834,72.625775,33.0,47.0,14.0,25.0,51.0,18.0,485.0753768844221,Severe
Ahmedabad,Gujarat,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,59.0,68.0,10.0,2.0,22.0,4.0,329.70414201183434,Very Poor
Ahmedabad,Gujarat,"SAC ISRO Satellite, Ahmedabad - IITM",2025-05-19 10:00:00,23.023389,72.515201,63.0,68.0,8.0,7.0,7.0,15.0,162.40506329113924,Moderately Polluted
Ahmedabad,Gujarat,"SVPI Airport Hansol, Ahmedabad - IITM",2025-05-19 10:00:00,23.076793,72.627874,34.0,41.0,25.0,3.0,10.0,4.0,200.0,Moderately Polluted
Ahmedabad,Gujarat,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",2025-05-19 10:00:00,23.04307,72.562968,54.0,60.0,97.0,7.0,9.0,8.0,187.46835443037975,Moderately Polluted
Ahmednagar,Maharashtra,"Tarakpur, Ahmednagar - MPCB",2025-05-19 10:00:00,19.10122,74.73339,11.0,,28.0,10.0,31.0,6.0,382.4260355029586,Very Poor
Ajmer,Rajasthan,"Civil Lines,  Ajmer - RSPCB",2025-05-19 10:00:00,26.470859,74.646594,61.0,84.0,37.0,7.0,31.0,25.0,382.4260355029586,Very Poor
Akola,Maharashtra,"Ramdaspeth, Akola - MPCB",2025-05-19 10:00:00,20.719516,77.000253,46.0,52.0,16.0,6.0,35.0,17.0,405.47738693467335,Severe
Alwar,Rajasthan,"Moti Doongri, Alwar - RSPCB",2025-05-19 10:00:00,27.554793,76.611536,60.0,79.0,125.0,44.0,72.0,21.0,500.0,Severe
